Tipe,Urutan,Nama
Persiapan Alat,1,Sarung tangan bersih
Persiapan Alat,2,Wadah sampel urine
Prosedur,1,Identifikasi pasien menggunakan minimal dua identitas (nama lengkap, tanggal lahir, dan/atau nomor rekam medis)
Prosedur,2,Jelaskan tujuan dan langkah-langkah prosedur
Prosedur,3,Lakukan kebersihan tangan 6 langkah
Prosedur,4,Pasang sarung tangan
Prosedur,5,Anjurkan menginformasikan jika pasien akan berkemih
Prosedur,6,Anjurkan aliran urine awal dibuang dan aliran selanjutnya ditampung dalam wadah
Prosedur,7,Anjurkan penampungan urine selesai sebelum aliran urine habis
Prosedur,8,Tutup rapat wadah urine untuk mencegah kebocoran dan kontaminasi
Prosedur,9,Berikan label pada wadah sampel urine (nama pasien, nomor rekam medis, tanggal dan waktu pengambilan sampel)
Prosedur,10,Kirim sampel ke laboratorium
Prosedur,11,Lepaskan sarung tangan
Prosedur,12,Lakukan kebersihan tangan 6 langkah
Prosedur,13,Dokumentasikan prosedur yang dilakukan dan respons pasien
