Tipe,Urutan,Nama
Alat dan Bahan,1,Spalk/bidai (kayu, logam, busa, karton, atau improvisasi)
Alat dan Bahan,2,Bantalan (kapas/gulungan kain)
Alat dan Bahan,3,Perban gulung / elastic bandage / kain segitiga
Alat dan Bahan,4,Gunting
Alat dan Bahan,5,Sarung tangan bersih
Alat dan Bahan,6,Kasa/antiseptik (jika ada luka terbuka)
Alat dan Bahan,7,Plester
Persiapan,1,Cuci tangan sesuai standar.
Persiapan,2,Jelaskan prosedur singkat kepada pasien untuk mengurangi kecemasan.
Persiapan,3,Siapkan alat dan pastikan area kerja aman.
Lakukan penilaian awal,1,Periksa DPS (deformitas, pembengkakan, dan sensasi nyeri).
Lakukan penilaian awal,2,Lakukan pemeriksaan neurovaskular: periksa denyut nadi distal, warna kulit, suhu, kapiler refill, dan sensorik.
Pelaksanaan,1,Bila ada luka terbuka, bersihkan dan tutup luka terlebih dahulu dengan kasa steril.
Pelaksanaan,2,Pilih bidai yang panjangnya cukup untuk meliputi sendi di atas dan di bawah area cedera.
Pelaksanaan,3,Beri bantalan pada sisi dalam bidai untuk menghindari tekanan langsung ke kulit.
Pelaksanaan,4,Letakkan bidai dengan posisi anatomis fungsional, jangan memaksakan posisi jika ada nyeri hebat.
Pelaksanaan,5,Ikat bidai dengan perban/kain secara stabil tetapi tidak terlalu kencang, hindari menutup area luka terbuka secara langsung.
Pelaksanaan,6,Lakukan re-evaluasi neurovaskular setelah pemasangan (denyut, gerak, rasa).
Setelah Tindakan,1,Pastikan bagian tubuh yang dibidai tetap stabil saat dipindahkan.
Setelah Tindakan,2,Dokumentasikan Waktu pemasangan
Setelah Tindakan,3,Dokumentasikan Jenis spalk dan lokasi cedera
Setelah Tindakan,4,Dokumentasikan Hasil pemeriksaan neurovaskular sebelum dan sesudah pemasangan
Setelah Tindakan,5,Dokumentasikan Respon dan keluhan pasien
Kewaspadaan,1,Jangan membidai terlalu kencang (risiko gangguan sirkulasi).
Kewaspadaan,2,Jangan menggerakkan anggota tubuh yang mengalami deformitas parah.
Kewaspadaan,3,Segera lepaskan bidai jika terjadi perubahan warna, dingin, atau mati rasa distal dari lokasi cedera.
Kewaspadaan,4,Laporkan segera bila ada nyeri bertambah atau tanda gangguan sirkulasi.
Dokumentasi,1,Catatan tindakan kegawatdaruratan atau keperawatan
Dokumentasi,2,Hasil penilaian dan evaluasi neurovaskular
Dokumentasi,3,Waktu dan tempat pemasangan bidai
Dokumentasi,4,Jenis dan bahan spalk yang digunakan
