Tipe,Urutan,Nama
Persiapan Alat,1,Sarung tangan bersih
Persiapan Alat,2,Neck collar, sesuai ukuran
Prosedur,1,Identifikasi pasien menggunakan minimal dua identitas (nama lengkap, tanggal lahir, dan/atau nomor rekam medis)
Prosedur,2,Jelaskan tujuan dan langkah-langkah prosedur 
Prosedur,3,Lakukan kebersihan tangan 6 langkah
Prosedur,4,Pasang sarung tangan bersih
Prosedur,5,Lakukan pengukuran neck collar
Prosedur,6,Lakukan imobilisasi leher pasien secara manual dengan kedua lengan perawat
Prosedur,7,Masukkan neck collar secara perlahan ke bagian belakang leher dengan sedikit melewati leher
Prosedur,8,Letakkan bagian neck collar yang berlekuk tepat pada dagu
Prosedur,9,Rekatkan 2 sisi neck collar satu sama lain
Prosedur,10,Lepas sarung tangan
Prosedur,11,Lakukan kebersihan tangan 6 langkah
Prosedur,12,Dokumentasikan prosedur yang telah dilakukan dan respons pasien
