Tipe,Urutan,Nama
Persiapan Alat,1,Air hangat
Persiapan Alat,2,Pelembab (seperti serum, lotion) jika perlu
Persiapan Alat,3,Tabir surya, jika perlu
Prosedur,1,Identifikasi pasien menggunakan minimal dua identitas (nama lengkap, tanggal lahir,dan / nomor rekam medis)
Prosedur,2,Jelaskan tujuan dan langkah-langkah prosedur
Prosedur,3,Lakukan kebersihan tangan 6 langkah
Prosedur,4,Ubah posisi tiap 2 jam, jika tirah baring
Prosedur,5,Lakuakan pemijatan pada area penonjolan tulang, jika perlu
Prosedur,6,Bersihkan perienal dengan air hangat, terutama selama periode diare
Prosedur,7,Gunakan produk berbahan minyak pada kulit kering
Prosedur,8,Gunakan produk berbahan ringan/alami dan hipoalergik pada kulit sensitif
Prosedur,9,Hindari produk berbahan dasar alkohol pada kulit kering
Prosedur,10,Anjurkan menggunakan pelembab (seperti lotion, serum)
Prosedur,11,Anjurkan minum air yang cukup
Prosedur,12,Anjurkan meningkatkan asupan nutrisi
Prosedur,13,Anjurkan meningkatkan asupan buah dan sayur
Prosedur,14,Anjurkan menghindari terpapar suhu ekstrim
Prosedur,15,Anjurkan menggunakan tabir surya SPF minimal 30 saat berada di luar rumah
Prosedur,16,Lakukan kebersihan tangan 6 langkah
Prosedur,17,Dokumentasikan prosedur yang telah dilakukan dan respon pasien
