Tipe,Urutan,Nama
Persiapan Alat,1,Sarung tangan bersih
Persiapan Alat,2,Bantal
Prosedur,1,Identifikasi pasien menggunakan minimal dua identitas (nama lengkap, tanggal lahir, dan/atau nomor rekam medis)
Prosedur,2,Jelaskan tujuan dan langkah-langkah prosedur
Prosedur,3,Lakukan kebersihan tangan 6 langkah
Prosedur,4,Pasang sarung tangan bersih, jika perlu
Prosedur,5,Posisikan pasien tidur terlentang
Prosedur,6,Letakkan bantal di bahu dan kepala pasien
Prosedur,7,Rapikan pasien dan alat-alat yang digunakan
Prosedur,8,Lepaskan sarung tangan
Prosedur,9,Lakukan kebersihan tangan 6 langkah
Prosedur,10,Dokumentasikan prosedur yang telah dilakukan dan respons pasien
