Tipe,Urutan,Nama
Persiapan alat,1,Selimut dan bantal
Persiapan alat,2,Sarung tangan bersih
Prosedur,1,Identifikasi pasien menggunakan minimal dua identitas (nama lengkap, tanggal lahir, dan/atau nomor rekam medis)
Prosedur,2,Jelaskan tujuan dan langkah-langkah prosedur
Prosedur,3,Lakukan kebersihan tangan 6 langkah
Prosedur,4,Pasang sarung tangan bersih, jika perlu
Prosedur,5,Atur posisi berbaring
Prosedur,6,Turunkan posisi tempat tidur bagian kepala
Prosedur,7,Atur hingga posisi tempat tidur bagian kepala terletak lebih rendah dari kaki
Prosedur,8,Lepaskan sarung tangan
Prosedur,9,Lakukan kebersihan tangan 6 langkah
Prosedur,10,Dokumentasikan prosedur yang telah dilakukan dan respons pasien
