Tipe,Urutan,Nama
Persiapan Alat,1,Sarung tangan bersih
Persiapan Alat,2,Gunting kuku
Persiapan Alat,3,Waskom berisi air hangat
Persiapan Alat,4,Handuk
Persiapan Alat,5,Sabun
Persiapan Alat,6,Pengalas
Pelaksanaan,1,Identifikasi pasien menggunakan minimal dua identitas (nama lengkap, tanggal lahir, dan /atau nomor rekam medis)
Pelaksanaan,2,Jelaskan tujuan dan langkah langkah prosedur
Pelaksanaan,3,Lakukan kebersihan tangan 6 langkah
Pelaksanaan,4,Pasang Pengalas di bawah kaki
Pelaksanaan,5,Pasang sarung tangan bersih
Pelaksanaan,6,Tempat pengalas diatas tempat tidur
Pelaksanaan,7,Tempatkan waskom berisi air hangat diatas pengalas
Pelaksanaan,8,Rendam jari-jari pasien dalam waskom berisi air hangat dan sabun
Pelaksanaan,9,Keringkan jari-jari tangan dan kaki dengan menggunakan handuk
Pelaksanaan,10,Potong kuku tangan dan kaki mengikuti bentuk normal jari kaki (tidak terlalu dekat dengan kulit dasar kuku)
Pelaksanaan,11,Cuci jari-jari tangan dan kaki serta keringkan dengan handuk
Pelaksanaan,12,Rapikan pasien dan alat-alat yang digunakan
Pelaksanaan,13,Lepaskan sarung tangan
Pelaksanaan,14,Lakukan kebersihan tangan 6 langkah
Pelaksanaan,15,Dokumentasikan prosedur yang telah dilakukan hasil dan respon pasien
