Tipe,Urutan,Nama
Alat dan Bahan,1,Lingkungan yang kondusif untuk komunikasi
Alat dan Bahan,2,Pengetahuan komunikasi terapeutik
Alat dan Bahan,3,Media edukasi (jika diperlukan)
Persiapan,1,Siapkan lingkungan yang nyaman dan privat.
Persiapan,2,Cuci tangan dan kenakan identitas diri.
Pelaksanaan,1,Sambut pasien dan keluarga dengan ramah dan sopan.
Pelaksanaan,2,Lakukan komunikasi terbuka, dengarkan keluhan dan kebutuhan pasien secara aktif.
Pelaksanaan,3,Gunakan bahasa yang mudah dipahami dan hindari istilah medis yang sulit.
Pelaksanaan,4,Tunjukkan empati dan pengertian terhadap kondisi pasien dan keluarga.
Pelaksanaan,5,Jelaskan prosedur perawatan atau tindakan medis dengan jelas dan jujur.
Pelaksanaan,6,Libatkan pasien dan keluarga dalam pengambilan keputusan sesuai kemampuan mereka.
Pelaksanaan,7,Jaga kerahasiaan informasi pasien.
Pelaksanaan,8,Berikan dukungan emosional dan motivasi untuk proses penyembuhan.
Pelaksanaan,9,Dokumentasikan interaksi dan hal penting yang disampaikan dalam rekam medis.
Penutup,1,Tanyakan apakah ada pertanyaan atau kebutuhan lain.
Penutup,2,Akhiri dengan ucapan terima kasih dan harapan baik.
Penutup,3,Pastikan pasien dan keluarga merasa dihargai dan didukung.
Evaluasi,1,Lakukan evaluasi kepuasan pasien dan keluarga secara berkala.
Evaluasi,2,Supervisi internal untuk memastikan penerapan komunikasi terapeutik.
Kewaspadaan,1,Hindari sikap menghakimi atau tidak sabar.
Kewaspadaan,2,Jangan mengabaikan perasaan atau kebutuhan pasien dan keluarga.
Kewaspadaan,3,Jaga batas profesional dalam hubungan.
