Tipe,Urutan,Nama
Prinsip Etika Keperawatan Utama,1,Otonomi: Menghormati hak pasien untuk membuat keputusan sendiri.
Prinsip Etika Keperawatan Utama,2,Nonmaleficence: Tidak melakukan tindakan yang dapat membahayakan pasien.
Prinsip Etika Keperawatan Utama,3,Beneficence: Berbuat baik dan memberikan manfaat kepada pasien.
Prinsip Etika Keperawatan Utama,4,Justice: Memberikan pelayanan secara adil tanpa diskriminasi.
Prinsip Etika Keperawatan Utama,5,Fidelity: Menjaga kepercayaan dan komitmen kepada pasien.
Persiapan,1,Pahami kode etik keperawatan dan kebijakan rumah sakit terkait etika.
Persiapan,2,Persiapkan diri secara mental dan profesional untuk memberikan pelayanan.
Pelaksanaan,1,Perlakukan pasien dengan hormat dan tanpa diskriminasi.
Pelaksanaan,2,Berikan informasi yang cukup, jujur, dan mudah dipahami kepada pasien.
Pelaksanaan,3,Hargai keputusan pasien, termasuk menolak tindakan medis dengan alasan yang sah.
Pelaksanaan,4,Jaga kerahasiaan data dan informasi pasien dengan ketat.
Pelaksanaan,5,Hindari konflik kepentingan dan tindakan yang melanggar etika.
Pelaksanaan,6,Bekerja sama dengan tim kesehatan secara profesional dan menghargai peran masing-masing.
Pelaksanaan,7,Laporkan dan tangani segera setiap pelanggaran etika atau masalah yang timbul.
Dokumentasi,1,Catat tindakan yang berkaitan dengan prinsip etika dalam rekam medis jika diperlukan.
Dokumentasi,2,Dokumentasikan komunikasi penting dengan pasien terkait persetujuan tindakan.
Evaluasi,1,Lakukan supervisi dan audit kepatuhan terhadap prinsip etika secara rutin.
Evaluasi,2,Sediakan forum diskusi atau pelatihan etika keperawatan secara berkala.
Kewaspadaan,1,Jangan abaikan indikasi pelanggaran etika.
Kewaspadaan,2,Hindari sikap paternalistik yang mengurangi otonomi pasien.
Kewaspadaan,3,Jaga profesionalisme dalam segala situasi.
