Tipe,Urutan,Nama
Alat dan Bahan,1,Obat paliatif: analgesik, sedatif, antikejang, dll.
Alat dan Bahan,2,Alat bantu: oksigen, suction (jika diperlukan)
Alat dan Bahan,3,Peralatan kebersihan pasien (waslap, sarung tangan, perlak)
Alat dan Bahan,4,Selimut, bantal, lampu redup (untuk kenyamanan)
Persiapan,1,Identifikasi tanda-tanda pasien mendekati akhir hayat.
Persiapan,2,Komunikasikan kondisi pasien kepada keluarga secara empatik dan jujur.
Persiapan,3,Ciptakan suasana tenang dan damai di ruang perawatan.
Persiapan,4,Pastikan pasien tidak sendiri jika memungkinkan — izinkan keluarga mendampingi.
Perawatan Fisik,1,Posisi tubuh: Atur posisi yang nyaman, miring kanan/kiri atau semi-fowler.
Perawatan Fisik,2,Kebersihan mulut: Bersihkan mulut dengan kapas basah atau swab setiap beberapa jam.
Perawatan Fisik,3,Kulit: Jaga kebersihan kulit, ganti pakaian/bedding jika basah atau kotor.
Perawatan Fisik,4,Berikan analgesik sesuai instruksi dokter.
Perawatan Fisik,5,Suction lendir jika pasien tampak sesak atau berdahak.
Perawatan Fisik,6,Hindari tindakan invasif yang tidak memberikan kenyamanan.
Perawatan Fisik,7,Cairan dan nutrisi: Hentikan pemberian cairan/nutrisi secara agresif bila sudah tidak dapat ditoleransi utamakan kenyamanan.
Dukungan Psikologis dan Spiritual,1,Dampingi pasien dengan tenang dan empatik.
Dukungan Psikologis dan Spiritual,2,Biarkan pasien berbicara atau menyampaikan pesan terakhir.
Dukungan Psikologis dan Spiritual,3,Fasilitasi kebutuhan spiritual atau keagamaan (pemuka agama, doa, dzikir, dll).
Dukungan Psikologis dan Spiritual,4,Dukung keluarga secara emosional.
Saat Kematian Terjadi,1,Konfirmasi kematian oleh dokter/perawat sesuai protokol.
Saat Kematian Terjadi,2,Hentikan semua alat medis yang masih terpasang dengan hormat.
Saat Kematian Terjadi,3,Biarkan keluarga mengucapkan salam perpisahan.
Saat Kematian Terjadi,4,Lakukan perawatan jenazah sesuai agama dan budaya pasien.
Dokumentasi,1,Catat waktu dan kondisi saat kematian terjadi.
Dokumentasi,2,Dokumentasikan semua tindakan perawatan, komunikasi dengan keluarga, dan dukungan yang diberikan.
Dokumentasi,3,Simpan dokumentasi dalam rekam medis.
Etika dan Keselamatan,1,Jaga martabat dan privasi pasien hingga saat terakhir.
Etika dan Keselamatan,2,Hindari tindakan medis yang tidak memberikan manfaat.
Etika dan Keselamatan,3,Lakukan seluruh tindakan dengan kasih sayang, empati, dan tanpa diskriminasi.
Etika dan Keselamatan,4,Gunakan APD bila dibutuhkan, sesuai protokol infeksi.
Tindak Lanjut Pasca Kematian,1,Berikan informasi dan dukungan awal kepada keluarga berduka.
Tindak Lanjut Pasca Kematian,2,Rujuk ke layanan dukungan duka jika diperlukan.
Tindak Lanjut Pasca Kematian,3,Lakukan evaluasi tim jika diperlukan untuk refleksi dan perbaikan pelayanan.
