Tipe,Urutan,Nama
Peralatan dan Bahan,1,Sarung tangan medis
Peralatan dan Bahan,2,Masker dan apron
Peralatan dan Bahan,3,Waslap, handuk bersih
Peralatan dan Bahan,4,Sabun antiseptik
Peralatan dan Bahan,5,Kain kafan atau pembungkus jenazah
Peralatan dan Bahan,6,Label identitas jenazah
Peralatan dan Bahan,7,Kantong jenazah (jika diperlukan)
Peralatan dan Bahan,8,Peralatan tambahan sesuai kebutuhan agama (seperti kapas, minyak wangi, dll.)
Konfirmasi Kematian,1,Pastikan pasien telah dinyatakan meninggal oleh dokter yang berwenang.
Konfirmasi Kematian,2,Catat waktu kematian dan konfirmasi identitas pasien.
Konfirmasi Kematian,3,Komunikasikan kabar kematian kepada keluarga secara empatik dan tenang.
Persiapan Perawatan Jenazah,1,Ciptakan suasana hening dan hormat di sekitar jenazah.
Persiapan Perawatan Jenazah,2,Siapkan alat dan bahan sesuai standar dan kebutuhan agama pasien.
Persiapan Perawatan Jenazah,3,Gunakan APD (alat pelindung diri) lengkap sesuai standar pencegahan infeksi.
Persiapan Perawatan Jenazah,4,Tutup tirai atau berikan privasi saat perawatan dilakukan.
Perawatan Tubuh,1,Bersihkan tubuh pasien dengan air dan sabun, mulai dari wajah, tangan, tubuh, dan kaki.
Perawatan Tubuh,2,Tutup lubang tubuh (mulut, hidung, anus) dengan kapas jika diperlukan untuk mencegah kebocoran cairan.
Perawatan Tubuh,3,Pakaikan pakaian atau kain kafan sesuai dengan kepercayaan atau permintaan keluarga.
Perawatan Tubuh,4,Tutup mata dan mulut dengan lembut, jika mulut terbuka, dapat digunakan pengikat dagu.
Perawatan Tubuh,5,Pasang label identitas di pergelangan tangan atau kaki jenazah, dan juga pada luar kain atau kantong jenazah.
Penanganan Jenazah Infeksius,1,Gunakan kantong jenazah kedap cairan dan udara.
Penanganan Jenazah Infeksius,2,Beri tanda khusus (label infeksius) pada kantong jenazah.
Penanganan Jenazah Infeksius,3,Minimalkan kontak langsung dan hindari membuka kembali kantong setelah ditutup.
Penyerahan kepada Keluarga / Pemulasaraan,1,Informasikan kepada keluarga mengenai waktu dan tempat pengambilan jenazah.
Penyerahan kepada Keluarga / Pemulasaraan,2,Serahkan jenazah dengan penuh hormat kepada keluarga atau tim pemulasaraan.
Penyerahan kepada Keluarga / Pemulasaraan,3,Bantu proses administrasi sesuai ketentuan rumah sakit atau instansi.
Dokumentasi,1,Catat waktu dan tempat kematian.
Dokumentasi,2,Dokumentasikan semua tindakan perawatan jenazah yang telah dilakukan.
Dokumentasi,3,Simpan dokumen identifikasi dan label yang sesuai.
Dokumentasi,4,Lakukan laporan ke pihak manajemen jika terdapat hal khusus (kematian mendadak, infeksius, dsb.).
Etika dan Keselamatan,1,Hormati jenazah sebagaimana menghormati orang hidup.
Etika dan Keselamatan,2,Jaga kerahasiaan identitas dan kondisi pasien.
Etika dan Keselamatan,3,Hindari komentar atau tindakan yang tidak etis selama perawatan jenazah.
Etika dan Keselamatan,4,Pastikan semua tindakan sesuai dengan nilai budaya dan agama pasien.
