Tipe,Urutan,Nama
Persiapan Alat,1,Sarung tangan bersih jika perlu
Persiapan Alat,2,Tisu
Persiapan Alat,3,Bengkok dengan cairan desinfektan
Persiapan Alat,4,Suplai oksigen jika perlu
Persiapan Alat,5,Pengalas atau underpad
Prosedur,1,Identifikasi pasien menggunakan minimal dua identitas (nama lengkap, tanggal lahir, dan/atau nomor rekam medis)
Prosedur,2,Jelaskan tujuan dan langkah-langkah prosedur
Prosedur,3,Lakukan kebersihan tangan 6 langkah
Prosedur,4,Pasang sarung tangan bersih jika perlu
Prosedur,5,Identifikasi kemampuan batuk
Prosedur,6,Atur posisi semi-Fowler dan Fowler
Prosedur,7,Anjurkan menarik napas melalui hidung selama 4 detik menahan napas selama 2 detik kemudian menghembuskan napas dari mulut dengan bibir dibulatkan (mencucu) selama 8 detik
Prosedur,8,Anjurkan mengulangi tindakan menarik napas dan hembuskan selama 3 kali
Prosedur,9,Anjurkan batuk dengan kuat langsung setelah tarik napas dalam yang ke-3
Prosedur,10,Kolaborasi pemberian mukolitik dan ekspektoran jika perlu
Prosedur,11,Rapikan pasien dan alat-alat yang digunakan
Prosedur,12,Lepaskan sarung tangan
Prosedur,13,Lakukan kebersihan tangan 6 langkah
Prosedur,14,Dokumentasikan prosedur yang telah dilakukan dan respons pasien
