Tipe,Urutan,Nama
Alat dan Bahan,1,Kateter steril ukuran sesuai usia Neonatus/bayi 5–6 Fr, Anak 6–8 Fr, Remaja 8–10 Fr
Alat dan Bahan,2,Spuit 10 mL (untuk balon kateter)
Alat dan Bahan,3,Air steril untuk balon kateter
Alat dan Bahan,4,Lubrikan steril (jelly)
Alat dan Bahan,5,Wadah urine/kantong kateter
Alat dan Bahan,6,Sarung tangan steril
Alat dan Bahan,7,Duk steril dan kain penutup
Alat dan Bahan,8,Kasa steril, larutan antiseptik (NaCl, povidone iodine/chlorhexidine)
Alat dan Bahan,9,Plester
Alat dan Bahan,10,Tempat sampah medis
Persiapan,1,Cuci tangan dan gunakan APD (masker, sarung tangan, apron)
Persiapan,2,Jelaskan prosedur pada anak/orang tua untuk mengurangi kecemasan
Persiapan,3,Posisikan anak Perempuan posisi litotomi atau supinasi dengan kaki dibuka
Persiapan,4,Posisikan anak Laki-laki supinasi, penis ditarik ke atas
Persiapan,5,Pasang duk steril di sekitar genitalia
Pemasangan Kateter,1,Bersihkan area genitalia dengan antiseptik dari dalam ke luar (ulang 2–3x)
Pemasangan Kateter,2,Kenakan sarung tangan steril
Pemasangan Kateter,3,Oleskan lubrikan steril pada ujung kateter
Pemasangan Kateter,4,Masukkan kateter secara perlahan Laki-laki tarik penis 90°, masukkan kateter sampai urin keluar
Pemasangan Kateter,5,Masukkan kateter secara perlahan Perempuan buka labia, masukkan kateter ke uretra sampai urin keluar
Pemasangan Kateter,6,Jika urin keluar jika pakai kateter balon kembangkan balon dengan 3–5 mL air steril
Pemasangan Kateter,7,Jika urin keluar sambungkan kateter ke kantong urin
Pemasangan Kateter,8,Fiksasi kateter dengan plester agar tidak tertarik
Pemasangan Kateter,9,Atur posisi kantong urin lebih rendah dari kandung kemih
Setelah Pemasangan,1,Bersihkan area sekitar uretra
Setelah Pemasangan,2,Buang alat bekas pakai ke tempat sampah medis
Setelah Pemasangan,3,Cuci tangan
Setelah Pemasangan,4,Observasi output urin dan komplikasi (nyeri, perdarahan, distensi)
Setelah Pemasangan,5,Edukasi orang tua tentang fungsi kateter dan cara menjaga kebersihan
Dokumentasi,1,Waktu dan tanggal pemasangan
Dokumentasi,2,Jenis dan ukuran kateter
Dokumentasi,3,Jumlah urin pertama keluar (jika dicatat)
Dokumentasi,4,Kondisi pasien saat dan setelah tindakan
Dokumentasi,5,Tanda komplikasi (jika ada)
Etika dan Keselamatan,1,Jaga privasi dan kenyamanan pasien anak
Etika dan Keselamatan,2,Libatkan orang tua secara komunikatif
Etika dan Keselamatan,3,Gunakan teknik aseptik ketat
Etika dan Keselamatan,4,Lakukan tindakan dengan lembut dan sabar sesuai usia anak
