Tipe,Urutan,Nama
Persiapan alat,1,Sarung tangan steril
Persiapan alat,2,Kateter urine sesuai ukuran
Persiapan alat,3,Urine bag dan penggantungnya
Persiapan alat,4,Spuit yang berisi 20 ml aquades/nacl atau sesuai anjuran pabrik
Persiapan alat,5,Jeli lidokain 2%
Persiapan alat,6,Cairan antiseptic
Persiapan alat,7,Sarung tangan bersih
Persiapan alat,8,Kom bersih
Persiapan alat,9,Wadah sampel urine, jika perlu
Persiapan alat,10,Kapas/kasa dan cairan antiseptic
Persiapan alat,11,Pengalas
Persiapan alat,12,Bengkok
Persiapan alat,13,Sampiran
Prosedur,1,Identifikasi pasien menggunakan minimal dua identitas (nama lengkap, tanggal lahir, dan/ nomor rekam medis)
Prosedur,2,Jelaskan tujuan dan langkah-langkah prosedur
Prosedur,3,Jaga privasi pasien
Prosedur,4,Atur posisi telentang dengan kaki abduksi
Prosedur,5,Letakan pengalas di bawah bokong
Prosedur,6,Tutup area pinggang dengan selimut
Prosedur,7,Lakukan kebersihan tangan 6 langkah
Prosedur,8,Pasang sarung tangan bersih
Prosedur,9,Bersihkan area genitalia dengan kapas/kasa dan cairan antiseptik
Prosedur,10,Bilas dan keringkan, kemudian lepaskan sarung tangan bersih
Prosedur,11,Buka set kateter steril dan alat-alat steril lainnya dan tempatkan di area steril dengan tetap mempertahankan teknik aseptik
Prosedur,12,Pasang sarung tangan steril
Prosedur,13,Sambung kateter dengan urine bag
Prosedur,14,Pegang penis tegak lurus dengan tangan non dominan dan masukan 10 ml jeli kedalam meatus uretra dengan tangan dominan
Prosedur,15,Tutup meatus uretra dengan jari telunjuk selama 1-2 menit
Prosedur,16,Masukan kateter kedalam meatus uretra secara perlahan dengan tangan dominan sampai pangkal kateter sambil menganjurkan tarik nafas dalam
Prosedur,17,Lakukan fiksasi internal dengan memasukan aquades/nacl untuk mengembangkan balon kateter
Prosedur,18,Tarik kateter perlahan sampai ada tahanan untuk memastikan kateter terfiksasi dengan baik
Prosedur,19,Lepaskan sarung tangan steril
Prosedur,20,Lakukan fiksasi eksternal dengan plaster di area abdomen bawah dengan penis mengarah ke dada
Prosedur,21,Gantungkan urine bag dengan posisi lebih rendah dari pasien
Prosedur,22,Pasang sarung tangan bersih dan ambil sampel urine segera dari urine bag, jika perlu
Prosedur,23,Lepaskan sarung tangan bersih
Prosedur,24,Rapihkan pasien dan alat yang digunakan
Prosedur,25,Lakukan kebersihan tangan 6 langkah
Prosedur,26,Dokumentasikan prosedur yang digunakan (warna urine, jumlah urine yang keluar, jumlah aquades/Nacl untuk mengembangkan balon, tanggal/waktu dipasang) dan respon pasien
