Tipe,Urutan,Nama
Alat dan Bahan,1,Kondom kateter ukuran sesuai penis
Alat dan Bahan,2,Kantong urin
Alat dan Bahan,3,Sabun dan air hangat atau tisu basah
Alat dan Bahan,4,Sarung tangan bersih
Alat dan Bahan,5,Gunting (jika kondom belum berbentuk pas)
Alat dan Bahan,6,Plester hypoallergenic (jika diperlukan)
Alat dan Bahan,7,Handuk atau underpad
Persiapan,1,Cuci tangan dan siapkan APD (sarung tangan, apron)
Persiapan,2,Jelaskan prosedur kepada pasien untuk menciptakan rasa nyaman dan kerja sama
Persiapan,3,Posisikan pasien terlentang, buka pakaian bagian bawah dan beri privasi
Persiapan,4,Letakkan handuk atau underpad di bawah panggul pasien
Pemasangan Kondom Kateter,1,Cuci area genital pasien dengan sabun dan air hangat, lalu keringkan dengan handuk bersih
Pemasangan Kondom Kateter,2,Pilih ukuran kondom kateter yang sesuai (tidak terlalu ketat/tidak longgar)
Pemasangan Kondom Kateter,3,Buka kemasan kondom kateter secara aseptik
Pemasangan Kondom Kateter,4,Gulung kondom kateter pada penis seperti memakai kondom biasa, mulai dari ujung penis ke pangkal
Pemasangan Kondom Kateter,5,Jika kondom tidak memiliki perekat, pasang plester hypoallergenic melingkar longgar pada pangkal penis untuk mencegah lepas (jangan terlalu ketat agar tidak menghambat aliran darah)
Pemasangan Kondom Kateter,6,Hubungkan ujung kateter dengan kantong urin
Pemasangan Kondom Kateter,7,Letakkan kantong urin di bawah tingkat kandung kemih (misal: di samping tempat tidur atau pada penyangga kaki tempat tidur)
Setelah Pemasangan,1,Pastikan tidak ada kebocoran urin
Setelah Pemasangan,2,Pastikan kondom tidak menggulung atau terlalu menekan kulit
Setelah Pemasangan,3,Buang bahan bekas pakai ke tempat sampah medis
Setelah Pemasangan,4,Cuci tangan
Setelah Pemasangan,5,Lakukan observasi berkala (setiap 4–6 jam atau sesuai protokol), Cek kebocoran, Cek iritasi kulit, Cek pengisian kantong urin
Dokumentasi,1,Waktu pemasangan
Dokumentasi,2,Ukuran dan jenis kondom kateter
Dokumentasi,3,Kondisi kulit penis saat pemasangan
Dokumentasi,4,Respon pasien
Dokumentasi,5,Output urin harian (jika dimonitor)
Etika dan Keselamatan,1,Jaga privasi dan martabat pasien selama tindakan
Etika dan Keselamatan,2,Hindari penggunaan plester terlalu ketat
Etika dan Keselamatan,3,Ganti kondom kateter setiap 24 jam atau sesuai kebutuhan
Etika dan Keselamatan,4,Edukasi keluarga/pasien tentang cara merawat kateter jika digunakan di rumah
