Tipe,Urutan,Nama
Prosedur,1,Identifikasi pasien menggunakan minimal dua identitas (nama lengkap, tanggal lahir, dan/atau nomor rekam medis)
Prosedur,2,Jelaskan tujuan dan langkah-langkah prosedur
Prosedur,3,Sediakan materi dan media edukasi toilet training
Prosedur,4,Lakukan kebersihan tangan 6 langkah
Prosedur,5,Identifikasi kesiapan dan kemampuan menerima informasi
Prosedur,6,Jadwalkan pendidikan kesehatan sesuai kesepakatan
Prosedur,7,Ajarkan orang tua mengidentifikasi kesiapan anak untuk berkemih mandiri
Prosedur,8,Ajarkan orang tua mengidentifikasi kesiapan anak secara psikososial
Prosedur,9,Ajarkan strategi untuk latihan toilet
Prosedur,10,Ajarkan cara mengajak anak ke toilet
Prosedur,11,Ajarkan cara memberikan pujian atas keberhasilan anak
Prosedur,12,Berikan kesempatan untuk bertanya
Prosedur,13,Lakukan kebersihan tangan 6 langkah
Prosedur,14,Dokumentasikan prosedur yang telah dilakukan dan respons pasien
