Tipe,Urutan,Nama
Prosedur,1,Memberikan pelayanan dengan senyum, sapa, salam, sopan, santun
Prosedur,2,Mencuci tangan
Prosedur,3,Menjelaskan prosedur yang akan dilakukan
Prosedur,4,Mengatur posisi pada pasien sesuai tempat penyuntikan
Prosedur,5,Memasang perlak/alasnya
Prosedur,6,Membebaskan daerah yang akan diinjeksi
Prosedur,7,Memakai sarung tangan
Prosedur,8,Menentukan lokasi penyuntikan dengan benar
Prosedur,9,Membersihkan kulit menggunakan alcohol swab (melingkar dari dalam keluar)
Prosedur,10,Lakukan pengikatan dengan torniket pada bagian atas daerah yang dapat dilakukan pemberian obat
Prosedur,11,Ambil spuit yang berisi obat
Prosedur,12,Lakukan penusukan dengan lubang menghadap ke atas dengan memasukkan ke pembuluh darah dengan sudut penyuntikan 15-30 derajat
Prosedur,13,Melakukan aspirasi apabila sudah ada darah lepaskan karet pembendung dan langsung semprotkan obat hingga habis
Prosedur,14,Sesudah selesai ambil spuit dengan menarik dan lakukan penekanan pada daerah penusukan dengan alcohol swab
Prosedur,15,Spuit yang sudah dipakai diletakkan di bengkok
Prosedur,16,Buka sarung tangan
Prosedur,17,Cuci tangan
Prosedur,18,Lakukan dokumentasi tindakan
