Tipe,Urutan,Nama
Persiapan Alat,1,Obat nasal sesuai program
Persiapan Alat,2,Sarung tangan bersih
Persiapan Alat,3,Tisu atau kapas lidi (cotton bud)
Prosedur,1,Identifikasi pasien menggunakan minimal dua identitas (nama lengkap, tanggal lahir, dan/atau nomor rekam medis)
Prosedur,2,Jelaskan tujuan dan langkah-langkah prosedur
Prosedur,3,Lakukan prinsip 6 benar (pasien, obat, dosis, waktu, rute, dokumentasi)
Prosedur,4,Lakukan kebersihan tangan 6 langkah
Prosedur,5,Pasang sarung tangan
Prosedur,6,Posisikan pasien berbaring dengan kepala hiperekstensi, jika tidak kontraindikasi
Prosedur,7,Anjurkan bernapas melalui mulut selama pemberian obat
Prosedur,8,Bersihkan hidung dengan tisu atau kapas lidi
Prosedur,9,Teteskan obat dengan jarak 1 cm di atas lubang hidung
Prosedur,10,Anjurkan tetap supine selama 5 menit setelah pemberian obat
Prosedur,11,Posisikan pasien ke posisi nyaman
Prosedur,12,Rapikan pasien dan alat-alat yang digunakan
Prosedur,13,Lepaskan sarung tangan
Prosedur,14,Lakukan kebersihan tangan 6 langkah
Prosedur,15,Dokumentasikan prosedur yang telah dilakukan dan respons pasien
