Tipe,Urutan,Nama
Persiapan alat,1,Sarung tangan bersih
Persiapan alat,2,Alat kompres hangat
Persiapan alat,3,Kain penutup kompres
Prosedur,1,Identifikasi pasien menggunakan minimal dua identitas (nama lengkap, tanggal lahir, dan/atau nomor rekam medis)
Prosedur,2,Jelaskan tujuan dan langkah-langkah prosedur
Prosedur,3,Pilih alat kompres yang nyaman dan mudah didapat (seperti kemasan gel beku, kain atau handuk)
Prosedur,4,Periksa suhu alat kompres
Prosedur,5,Lakukan kebersihan tangan 6 langkah
Prosedur,6,Pasang sarung tangan bersih
Prosedur,7,Pilih lokasi kompres
Prosedur,8,Balut alat kompres hangat dengan kain, jika perlu
Prosedur,9,Lakukan kompres hangat pada daerah yang sudah dipilih
Prosedur,10,Hindari penggunaan kompres pada jaringan yang terpapar terapi radiasi
Prosedur,11,Rapikan pasien dan alat-alat yang digunakan
Prosedur,12,Lepaskan sarung tangan
Prosedur,13,Lakukan kebersihan tangan 6 langkah
Prosedur,14,Dokumentasikan prosedur yang dilakukan dan respons pasien
