Tipe,Urutan,Nama
Persiapan alat,1,Sarung tangan bersih
Persiapan alat,2,Catheter tip atau spuit 20–50 cc sesuai kebutuhan
Persiapan alat,3,Obat yang dihaluskan dan dilarutkan dengan air
Persiapan alat,4,Stetoskop
Persiapan alat,5,Air minum
Persiapan alat,6,Tisu
Persiapan alat,7,Penguas
Prosedur,1,Identifikasi pasien minimal dua identitas (nama lengkap, tanggal lahir, dan/atau nomor rekam medik)
Prosedur,2,Jelaskan tujuan dan langkah-langkah prosedur
Prosedur,3,Lakukan prinsip 6 benar pemberian obat (pasien, obat, dosis, waktu, rute, dokumentasi)
Prosedur,4,Lakukan kebersihan tangan 6 langkah
Prosedur,5,Pakai sarung tangan bersih
Prosedur,6,Posisikan pasien dalam posisi semi-Fowler
Prosedur,7,Letakkan pengalas di dada pasien
Prosedur,8,Periksa posisi dan kepatenan NGT serta residu lambung
Prosedur,9,Buka penutup ujung NGT dan sambungkan dengan catheter tip atau spuit
Prosedur,10,Masukkan obat ke dalam catheter tip atau spuit
Prosedur,11,Alirkan obat secara perlahan tanpa mendorong
Prosedur,12,Bilas selang dengan air minum
Prosedur,13,Tutup kembali ujung selang
Prosedur,14,Pertahankan posisi semi-Fowler selama 30 menit
Prosedur,15,Rapikan pasien dan alat-alat yang digunakan
Prosedur,16,Lepaskan sarung tangan
Prosedur,17,Lakukan kebersihan tangan 6 langkah
Prosedur,18,Dokumentasikan prosedur yang telah dilakukan dan respons pasien
